39.5500507,-105.78206740000002,32.880450063677, -86.702509865832, 3772	
39.5500507,-105.78206740000002,34.9188469950358, -92.429013264974, 4285	
39.5500507,-105.78206740000002,33.6551138559977, -111.446721903483, 34518	
39.5500507,-105.78206740000002,37.824644286057, -120.823074866985, 56050		
39.5500507,-105.78206740000002,41.5888428688049, -72.6502799987793, 2824
39.5500507,-105.78206740000002,38.9136123657227, -77.0132217407227, 1592
39.5500507,-105.78206740000002,39.1465835571289, -75.5047505696615, 663
39.5500507,-105.78206740000002,28.9389770564748, -82.6974137718998, 22157
39.5500507,-105.78206740000002,32.8112036507085, -83.5774902247783, 11349
39.5500507,-105.78206740000002,42.026041705199, -93.4676034330118, 8042
39.5500507,-105.78206740000002,44.2596261284568, -114.502467068759, 5982
39.5500507,-105.78206740000002,39.8442733241063, -89.1749391742781, 14136
39.5500507,-105.78206740000002,39.8392207104227, -86.2186364712922, 6310
39.5500507,-105.78206740000002,38.4885291689918, -98.0751427786691, 14616
39.5500507,-105.78206740000002,37.6237838745117, -85.1968238194784, 3847
39.5500507,-105.78206740000002,31.1041933596134, -91.8346582651138, 3840
39.5500507,-105.78206740000002,42.1099373953683, -71.4440629141671, 5719
39.5500507,-105.78206740000002,39.016930103302, -76.6675793329875, 5208
39.5500507,-105.78206740000002,44.5929148197174, -69.4918351173401, 1911
39.5500507,-105.78206740000002,44.0341707712196, -85.1826889773449, 8204
39.5500507,-105.78206740000002,45.5369993187915, -94.4276529947917, 9313
39.5500507,-105.78206740000002,38.4480049133301, -92.4814332381539, 12622
39.5500507,-105.78206740000002,32.7943189900096, -89.6432060613865, 2385
39.5500507,-105.78206740000002,46.9641146659851, -109.680493082319, 6512
39.5500507,-105.78206740000002,35.6192039489746, -79.5079425811768, 9559
39.5500507,-105.78206740000002,47.3940846425182, -100.237543214042, 2029
39.5500507,-105.78206740000002,41.3203385876071, -99.0234931207472, 13345
39.5500507,-105.78206740000002,43.4498104095459, -71.5615364074707, 1914
39.5500507,-105.78206740000002,40.2881544203985, -74.6102509271531, 3560
39.5500507,-105.78206740000002,34.5639269279711, -105.891454754454, 15626
39.5500507,-105.78206740000002,39.1872913136202, -117.583270802217, 11365
39.5500507,-105.78206740000002,42.5354146034487, -75.4724233073573, 9217
39.5500507,-105.78206740000002,40.3115996880965, -82.8307361602783, 9300
39.5500507,-105.78206740000002,35.503209547563, -97.2445149607473, 11501
39.5500507,-105.78206740000002,44.5351737340291, -121.527920193142, 11444
39.5500507,-105.78206740000002,40.8096877710143, -77.6039216909836, 7276
39.5500507,-105.78206740000002,41.6552146911621, -71.4169738769531, 927
39.5500507,-105.78206740000002,33.9605824014415, -80.9752855715544, 3567
39.5500507,-105.78206740000002,44.2715996250962, -99.3199896378951, 3781
39.5500507,-105.78206740000002,35.8861610011051, -86.1089816444799, 6139
39.5500507,-105.78206740000002,31.6545249458373, -98.6517881258266, 46910
39.5500507,-105.78206740000002,39.6345238521181, -111.5990463783, 11776
39.5500507,-105.78206740000002,37.5653022200973, -78.5246051364475, 12022
39.5500507,-105.78206740000002,44.1599834987095, -72.68346623012, 1186
39.5500507,-105.78206740000002,47.2235717773438, -120.764841128618, 17700
39.5500507,-105.78206740000002,44.391443517473, -89.7909241782294, 6909
39.5500507,-105.78206740000002,38.8231425892223, -80.6277619795366, 1194
39.5500507,-105.78206740000002,43.0494019881539, -107.142262666122, 10444
