EDENBRIDGE;United Kingdom;0,0639341;51,1958271;BUDAPEST;Hungary;19,0404707;47,4983815;12524
PARIS;France;2,3521334;48,8565056;OUAGADOUGOU;Burkina Faso;-1,5220077;12,3690127;13000
SALZBURG;Austria;13,0410592;47,8001977;CERDANYOLA DEL VALLES;Spain;2,1374969;41,4910324;13920
SAINT MANDE CEDEX;France;1,8883335;46,603354;BRNO;Czech Republic;16,6110408;49,1921324;14271
Evora;Portugal;-7,909377;38,5707719;LJUBLJANA;Slovenia;14,5068921;46,049865;14716
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;PRAGUE 1;Czech Republic;14,4177247;50,084819;15868
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;SMamede de infesta;Portugal;-8,560832847;39,4303791;16103
FREIBURG;Germany;7,1606881;46,8052805;KIEV;Ukraine;30,5234937;50,4499875;16333
FREIBURG;Germany;7,8494005;47,9960901;KIEV;Ukraine;30,5234937;50,4499875;16333
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;MARSA;Malta;14,4905727;35,8837928;17483
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;LJUBLJANA;Slovenia;14,5068921;46,049865;17572
PARIS;France;2,3521334;48,8565056;ASNIERES SUR SEINE;France;2,2890199;48,9105816;17700
BERLIN;Germany;13,4385964;52,5198535;BOLZANO;Italy;11,3540184;46,4980632;17748
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;RIGA;Latvia;24,1051846;56,9493977;19316
MOL;Belgium;5,1156157;51,1841061;BRASILIA DF;Brazil;-48,3022401;-25,5411963;20000
OSLO;Norway;10,7391112;59,9132694;Rome;Italy;12,4830619;41,8932575;20000
MANNHEIM;Germany;8,4672361;49,4895914;STOCKHOLM;Sweden;18,0613099;59,3307611;20243
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;WIEN;Austria;16,3730908;48,2084671;20514
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;Dublin;Ireland;-6,261175;53,3493074;20811
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;WARSZAWA;Poland;21,0067265;52,2319237;22303
MUENCHEN;Germany;11,5754815;48,1372719;ISTANBUL;Turkey;28,9855676;41,0170578;22589
NOVI SAD;Serbia;19,845081;45,2551053;TIRANA;Albania;19,8188653;41,3270806;22663
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;MADRID;Spain;-3,7035825;40,4167047;22810
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;LUXEMBOURG;Luxembourg;6,1296751;49,8158683;23343
DELFT;Netherlands;4,35839;52,0114017;KARACHI;Pakistan;67,031789;24,8741557;24000
TRES CANTOS (MADRID);Spain;-3,7118812;40,5991506;Barcelona;Spain;2,1700437;41,3870186;24948
PARIS;France;2,3521334;48,8565056;Conakry;Guinea;-13,6999235;9,5171253;25000
NOVI SAD;Serbia;19,845081;45,2551053;SKOPJE;Former Yugoslav Republic of Macedonia;21,4317955;41,9962268;25199
WAGENINGEN;Netherlands;5,6634279;51,9750824;Evora;Portugal;-7,909377;38,5707719;25460
BERGEN;Norway;4,70804;52,66765;KOBENHAVN;Denmark;12,5700724;55,6867243;26652
BERGEN;Norway;5,37306653;60,3568769;KOBENHAVN;Denmark;12,5700724;55,6867243;26652
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;Bucharest;Romania;26,1027436;44,436139;27073
ISSY-LES-MOULINEAUX;France;2,2734713;48,8244968;TBILISI;Georgia;44,8015706;41,6935009;27153
PLYMOUTH;United Kingdom;-4,111676104;50,39254155;Cairo;Egypt;31,2436663;30,0488185;27392
NOVI SAD;Serbia;19,845081;45,2551053;PODGORICA;Montenegro;19,2621081;42,4415238;27649
SALZBURG;Austria;13,0410592;47,8001977;MONTPELLIER;France;3,8767337;43,6112422;27739
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;BRUXELLES;Belgium;4,3516841;50,8465406;27756
PLYMOUTH;United Kingdom;-4,111676104;50,39254155;COIMBRA;Portugal;-8,4291574;40,2113318;27820
PLYMOUTH;United Kingdom;-4,111676104;50,39254155;SAINT MANDE CEDEX;France;1,8883335;46,603354;28328
KOELN;Germany;6,9569467;50,9412323;KOBLENZ;Germany;7,584097811;50,3463017;28590
SALZBURG;Austria;13,0410592;47,8001977;AACHEN;Germany;6,0838209;50,7762954;28890
