lengthMiddleSegment: 287291.06
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 71822.765
distanceSamePosition: 71822.765
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;20,93;357;false;true;true;10,77;0;11,62
2;0,02;17,11;344;false;true;true;10,15;0;9,67
3;0,03;14,1;334;false;true;true;8,89;0;7,9
4;0,04;11,98;329;false;true;true;8,21;0;7,35
5;0,04;11,22;325;false;true;true;7,62;0;7,46
6;0,07;10,61;322;false;true;true;7,87;0;7,7
7;0,07;10,46;319;false;true;true;7,9;0;7,65
8;0,08;9,44;314;false;true;true;7,81;0;5,68
9;0,08;9,11;313;false;true;true;7,36;0;6,24
10;0,08;9,05;310;false;true;true;7,31;0;5,77
11;0,08;8,73;308;false;true;true;7,11;0;5,77
12;0,08;8,74;306;false;true;true;7,03;0;5,69
13;0,09;8,67;305;false;true;true;7,15;0;6,25
14;0,09;8,61;303;false;true;true;7,15;0;6,03
15;0,09;8,46;301;false;true;true;7,14;0;5,8
16;0,09;9,04;300;false;true;true;7,22;0;6,5
17;0,09;8,15;297;false;true;true;7,04;0;4,99
18;0,1;8;296;false;true;true;6,65;0;5,04
19;0,1;7,98;295;false;true;true;6,35;0;5,08
20;0,1;7,82;292;false;true;true;6,38;0;4,4
21;0,1;7,46;291;false;true;true;6,21;0;4,42
22;0,1;7,53;291;false;true;true;6,18;0;5,26
23;0,11;7,24;290;false;true;true;6,41;0;5,22
24;0,11;7,64;290;false;true;true;6,9;0;6,26
25;0,11;7,89;288;false;true;true;7,11;0;5,96
26;0,11;7,39;285;false;true;true;7,07;0;4,8
27;0,11;6,97;283;false;true;true;5,92;0;3,83
28;0,12;6,78;283;false;true;true;5,67;0;4,33
29;0,12;6,65;282;false;true;true;6,05;0;4,4
30;0,12;6,7;282;false;true;true;6,38;0;5,04
31;0,12;6,74;281;false;true;true;6,36;0;4,92
32;0,13;6,84;280;false;true;true;6,66;0;4,97
33;0,13;6,47;278;false;true;true;6,63;0;4,16
34;0,13;6,4;277;false;true;true;6,41;0;3,94
35;0,13;6,36;277;false;true;true;6,31;0;4,44
36;0,13;6,53;276;false;true;true;6,26;0;4,32
37;0,14;6,64;275;false;true;true;6,27;0;4,31
38;0,14;6,29;274;false;true;true;6,25;0;4,03
39;0,14;6,26;273;false;true;true;6,08;0;3,87
40;0,14;6,03;272;false;true;true;5,86;0;3,58
41;0,14;5,93;272;false;true;true;5,96;0;3,93
42;0,14;6,03;272;false;true;true;6,23;0;4,42
43;0,15;5,87;271;false;true;true;6,36;0;4,17
44;0,15;5,98;271;false;true;true;6,56;0;4,67
45;0,15;6,08;270;false;true;true;6,62;0;4,48
